,GASS ID,σ,S/N,"SCO,obs",,"SCO,cor",,fof f,MH2,MH2/M∗,Flag
167,38964,1.61,...,...,,...,,...,9.12,0.007,2
168,39119,2.35,11.14,9.30,,11.42,,...,9.12,0.086,1
169,10218,2.53,11.67,11.76,,14.40,,...,9.66,0.078,1
170,39270,1.34,9.28,4.51,,6.00,,...,9.03,0.076,1
171,42025,1.27,5.38,3.81,,5.18,,...,9.02,0.014,1
172,41969,2.01,20.50,12.30,,27.90,,0.49,9.71,0.192,1
173,42140,1.23,...,...,,...,,...,9.08,0.013,2
174,10367,1.81,...,...,,...,,...,9.06,0.010,2
175,42013,2.60,23.04,29.40,,36.34,,0.10,9.86,0.124,1
176,42141,1.21,...,...,,...,,...,8.92,0.009,2
177,10358,1.85,...,...,,...,,...,9.06,0.009,2
178,10404,1.72,...,...,,...,,...,9.04,0.010,2
179,10447,1.11,...,...,,...,,...,8.98,0.020,2
180,39548,1.94,9.28,7.74,,8.44,,0.23,9.18,0.058,1
181,39605,1.26,...,...,,...,,...,8.74,0.041,2
182,39595,1.99,11.61,13.50,,13.50,,0.18,9.58,0.051,1
183,39567,1.67,7.94,7.38,,8.94,,...,9.11,0.035,1
184,26958,2.19,20.61,30.72,,33.42,,0.23,9.94,0.048,1
185,47221,1.38,8.94,5.51,,6.55,,...,9.00,0.029,1
186,42402,1.16,4.09,2.93,,4.40,,...,9.13,0.013,1
187,31156,2.34,...,...,,...,,...,8.76,0.012,2
188,29487,2.29,2.26,2.08,,2.59,,...,8.84,0.005,1
189,10817,1.31,...,...,,...,,...,8.70,0.012,2
190,10827,1.15,...,...,,...,,...,8.61,0.032,2
191,10831,1.14,5.47,3.35,,3.99,,...,8.65,0.015,1
192,10813,1.28,...,...,,...,,...,8.58,0.011,2
193,10836,1.28,...,...,,...,,...,8.68,0.010,2
194,10850,1.15,7.23,3.79,,4.26,,...,8.90,0.042,1
195,10841,0.99,11.46,5.77,,6.72,,...,8.87,0.032,1
196,10885,2.15,12.15,10.38,,11.66,,...,9.12,0.121,1
197,10889,1.16,...,...,,...,,...,8.54,0.012,2
198,10844,1.16,...,...,,...,,...,8.34,0.015,2
199,10872,1.10,...,...,,...,,...,8.57,0.012,2
200,10884,1.23,...,...,,...,,...,8.59,0.013,2
201,10942,1.13,...,...,,...,,...,8.45,0.025,2
202,10943,1.35,6.79,3.76,,4.39,,...,8.70,0.030,1
203,10944,1.02,...,...,,...,,...,8.45,0.025,2
204,10950,1.25,...,...,,...,,...,8.49,0.019,2
205,10949,1.18,...,...,,...,,...,8.56,0.017,2
206,10948,1.10,5.84,2.89,,3.34,,...,8.53,0.032,1
207,10952,1.41,7.30,5.39,,7.07,,...,8.86,0.025,1
208,11016,1.15,...,...,,...,,...,8.83,0.039,2
211,11015,1.15,...,...,,...,,...,8.96,0.016,2
212,11086,1.17,...,...,,...,,...,8.73,0.020,2
