ID "GASS ID" "SDSS ID" zSDSS M∗ µ∗ D25 R90/R50 NUV−r r col0 σ S/N SCO,obs SCO,cor "fof f" MH2 MH2/M∗ Flag
73 26311 J102309.58+121422.2 0.0448 11.13 8.9 67.9 3.08 4.71 14.33 79 1.26 5.07 3.58 5.56 ... 9.21 0.012 1
74 22999 J102316.42+115120.4 0.0455 10.64 8.62 36.7 2.1 3.79 15.45 80 2.06 14.32 12.18 14.71 ... 9.65 0.102 1
75 26602 J103347.41+124358.1 0.0325 10.74 9.2 43.1 3.21 6.40 14.55 81 1.47 ... ... ... ... 8.85 0.013 2
76 15181 J104002.96+060114.0 0.0468 11.18 8.73 67.1 2.94 4.78 14.94 82 1.56 9.56 8.34 12.88 ... 9.62 0.027 1
77 15166 J104121.14+061644.3 0.0339 10.02 8.1 34.3 2.07 2.35 15.33 83 1.45 4.25 2.33 2.77 ... 8.68 0.045 1
78 29555 J104145.56+135352.9 0.0316 10.38 8.88 33.6 3.11 4.55 14.94 84 1.02 4.00 1.76 2.07 ... 8.49 0.013 1
79 23315 J104200.74+114648.0 0.0329 10.45 9.05 24.7 2.5 4.34 15.05 85 1.09 ... ... ... ... 8.64 0.015 2
80 8914 J104402.21+043946.8 0.0266 10.42 8.5 40.5 2.0 2.76 14.25 86 2.08 13.55 12.36 19.80 0.37 9.32 0.08 1
81 29596 J104702.82+141548.0 0.0324 10.68 9.01 42.5 3.01 5.29 14.45 87 1.02 3.00 1.24 1.56 ... 8.39 0.005 1
82 15257 J104805.79+060114.4 0.0288 10.09 8.94 19.7 2.75 5.45 15.74 88 0.97 ... ... ... ... 8.49 0.025 2
83 23408 J105322.36+111050.4 0.043 11.04 8.84 55.6 3.19 5.53 14.2 89 1.39 ... ... ... ... 9.11 0.012 2
84 23450 J105648.58+120535.7 0.0476 10.81 9.24 25.4 3.13 5.51 15.18 90 1.06 ... ... ... ... 8.97 0.015 2
85 23453 J105800.29+115913.6 0.0348 10.12 8.08 ... 1.9 ... 15.01 91 1.84 4.34 3.85 3.85 ... 8.84 0.052 1
86 17659 J105807.59+091633.9 0.0344 11.17 9.23 59.5 3.16 5.61 13.66 92 2.59 ... ... ... ... 9.2 0.011 2
87 17640 J105929.94+084233.1 0.0349 11.04 9.18 54.6 3.08 5.61 14.5 93 1.55 ... ... ... ... 9.05 0.01 2
88 5442 J110032.51+020657.8 0.0394 11.1 8.62 61.0 1.75 2.99 13.95 94 2.32 10.68 12.42 30.66 0.52 9.85 0.056 1
89 17684 J110037.27+102613.9 0.0361 11.08 9.04 45.7 2.47 6.05 14.13 95 1.73 ... ... ... ... 9.02 0.009 2
90 29624 J110050.33+133551.4 0.034 10.32 8.59 38.9 2.49 4.17 15.91 96 1.7 13.93 11.70 14.38 ... 9.39 0.119 1
91 29699 J110818.34+131327.5 0.034 11.01 8.92 59.2 3.35 5.15 14.11 97 1.71 1.63 1.35 1.95 ... 8.53 0.003 1
92 12371 J111306.40+051403.0 0.0432 10.8 8.89 40.6 2.89 3.34 14.72 98 1.57 8.76 6.06 7.55 ... 9.32 0.033 1
93 12318 J111443.35+040128.2 0.0417 11.21 9.23 53.1 3.28 5.60 13.88 99 1.03 ... ... ... ... 9.02 0.006 2
94 12455 J112017.79+041913.3 0.0491 11.45 9.28 54.7 3.42 6.26 13.84 100 1.88 ... ... ... ... 9.35 0.008 2
95 12293 J112029.23+040742.1 0.0496 11.32 8.87 52.8 2.41 4.44 14.15 101 1.16 7.28 5.44 7.48 ... 9.43 0.013 1
96 12460 J112048.30+035021.0 0.0494 10.98 8.97 48.0 3.13 5.13 15.14 102 1.04 5.35 2.68 3.54 ... 9.1 0.013 1
97 12458 J112118.26+033953.0 0.0394 11.04 9.3 40.0 3.2 5.77 14.18 103 1.6 ... ... ... ... 9.04 0.01 2
98 29842 J112131.76+132535.7 0.0341 10.8 8.82 56.0 2.59 3.69 14.33 104 2.09 13.48 16.86 42.65 0.53 9.87 0.118 1
99 23685 J112311.63+130703.7 0.047 10.7 8.94 32.5 3.01 3.32 15.16 105 2.02 11.12 12.66 14.79 ... 9.68 0.094 1
100 17865 J112920.69+083608.3 0.027 10.28 8.08 53.2 2.03 2.72 14.49 106 1.92 9.79 7.14 9.84 0.34 9.03 0.056 1
101 29892 J112946.35+152001.1 0.0366 11.02 9.06 54.5 2.85 3.81 13.88 107 1.28 7.70 6.36 8.86 ... 9.25 0.017 1
102 18202 J121134.94+092106.8 0.0269 10.25 9.02 26.2 2.94 5.55 15.0 108 1.1 ... ... ... ... 8.51 0.018 2
103 24149 J121356.24+134035.2 0.0422 10.33 8.39 32.6 3.34 3.93 15.9 109 1.08 ... ... ... ... 8.96 0.043 2
