,GASS ID,SDSS ID,zSDSS,M∗,µ∗,D25,R90/R50,NUV−r,r
0,,,Table 1: Optical and UV parameters of the COLD GASS galaxies,,,,,,
99,12455,J112017.79+041913.3,0.0491,11.45,9.28,54.7,3.42,6.26,13.84
100,12293,J112029.23+040742.1,0.0496,11.32,8.87,52.8,2.41,4.44,14.15
101,12460,J112048.30+035021.0,0.0494,10.98,8.97,48.0,3.13,5.13,15.14
102,12458,J112118.26+033953.0,0.0394,11.04,9.30,40.0,3.20,5.77,14.18
103,29842,J112131.76+132535.7,0.0341,10.80,8.82,56.0,2.59,3.69,14.33
104,23685,J112311.63+130703.7,0.0470,10.70,8.94,32.5,3.01,3.32,15.16
105,17865,J112920.69+083608.3,0.0270,10.28,8.08,53.2,2.03,2.72,14.49
106,29892,J112946.35+152001.1,0.0366,11.02,9.06,54.5,2.85,3.81,13.88
107,18202,J121134.94+092106.8,0.0269,10.25,9.02,26.2,2.94,5.55,15.00
108,24149,J121356.24+134035.2,0.0422,10.33,8.39,32.6,3.34,3.93,15.90
109,30175,J121602.67+141121.8,0.0254,10.74,9.13,...,2.90,...,13.97
110,24168,J121612.36+132615.4,0.0260,10.44,8.85,49.1,2.83,4.77,14.95
111,24183,J121744.10+131015.7,0.0429,10.77,8.73,45.4,2.58,2.31,14.23
112,24741,J121750.81+082549.0,0.0492,10.91,8.98,42.3,2.92,2.64,14.67
113,18335,J121853.94+100010.1,0.0431,10.87,9.17,35.0,3.17,6.03,14.83
114,18421,J122006.47+100429.2,0.0434,10.60,8.80,31.8,3.53,4.10,14.97
115,24094,J122030.18+112027.3,0.0431,11.08,8.91,43.2,2.56,4.31,14.26
116,30338,J122319.58+141813.4,0.0418,10.95,8.97,52.4,2.92,4.76,14.70
117,18469,J123251.49+084423.9,0.0338,10.15,8.24,27.3,1.80,2.51,15.18
118,12970,J123553.79+054539.8,0.0418,10.89,8.51,51.3,2.76,5.50,14.39
119,24426,J123622.72+133610.3,0.0305,10.12,8.10,47.2,2.08,2.43,14.83
120,12966,J123632.24+061010.5,0.0395,11.18,9.00,51.6,2.57,5.25,13.96
121,30479,J123708.06+142426.9,0.0308,10.29,9.19,21.7,2.91,5.46,15.34
122,28143,J123711.40+083929.8,0.0283,10.30,8.83,42.3,2.88,3.11,14.98
123,30471,J123753.20+141652.7,0.0263,10.83,9.11,52.9,2.98,5.58,13.64
124,24366,J123938.86+122507.9,0.0411,10.86,9.51,32.6,3.24,5.76,14.95
125,12983,J124032.46+052119.9,0.0466,11.04,8.98,42.0,2.71,4.35,14.68
126,28168,J124054.96+080323.2,0.0478,10.18,9.07,14.5,2.93,3.22,16.25
127,6506,J124309.36+033452.2,0.0487,10.77,8.52,41.4,1.97,3.05,14.89
128,13037,J124314.97+040502.0,0.0485,11.03,9.18,36.6,3.28,5.85,14.72
129,28461,J124622.67+115235.7,0.0443,11.36,9.19,55.1,3.32,5.87,13.76
130,6565,J124938.19+024520.2,0.0476,10.89,9.22,34.0,3.29,5.88,14.91
131,6583,J125055.79+031149.3,0.0483,11.20,9.12,47.2,3.25,5.59,14.14
132,26822,J125129.06+134654.5,0.0376,11.03,8.89,59.2,2.49,3.48,13.80
133,40500,J125911.09+103006.0,0.0460,10.88,9.07,32.4,3.42,5.22,14.91
134,30508,J125926.22+142030.0,0.0471,11.02,8.88,44.0,3.38,5.25,14.59
135,13227,J125950.03+050251.2,0.0483,11.22,8.75,48.1,2.40,4.45,14.17
136,40439,J130415.04+091324.4,0.0350,10.95,8.60,70.7,2.18,2.61,13.59
137,25154,J130457.41+120444.6,0.0358,11.13,9.18,54.4,3.00,5.93,13.81
138,40570,J131104.94+084828.3,0.0325,11.14,9.08,62.9,2.82,5.61,13.42
